bit_position,majority_board1,majority_board2,match
0,1,0,no
1,0,1,no
2,0,1,no
3,1,0,no
4,0,0,yes
5,1,1,yes
6,1,1,yes
7,0,1,no
8,0,1,no
9,1,0,no
10,0,0,yes
11,0,0,yes
12,0,1,no
13,1,1,yes
14,0,0,yes
15,1,1,yes
16,0,0,yes
17,1,1,yes
18,0,1,no
19,0,1,no
20,1,1,yes
21,equal,0,no
22,1,0,no
23,0,1,no
24,1,1,yes
25,0,1,no
26,0,0,yes
27,0,1,no
28,1,1,yes
29,0,1,no
30,0,1,no
31,0,0,yes
32,0,0,yes
33,0,1,no
34,1,equal,no
35,1,0,no
36,1,0,no
37,1,1,yes
38,1,1,yes
39,1,0,no
40,1,1,yes
41,0,0,yes
42,0,1,no
43,0,1,no
44,1,1,yes
45,0,0,yes
46,1,1,yes
47,0,1,no
48,0,0,yes
49,0,1,no
50,1,1,yes
51,1,1,yes
52,0,1,no
53,1,1,yes
54,1,0,no
55,1,1,yes
56,0,1,no
57,1,0,no
58,1,1,yes
59,0,1,no
60,1,0,no
61,0,0,yes
62,0,1,no
63,1,1,yes
64,1,1,yes
65,0,1,no
66,1,1,yes
67,0,1,no
68,1,1,yes
69,0,0,yes
70,0,0,yes
71,1,1,yes
72,1,1,yes
73,0,0,yes
74,1,0,no
75,1,1,yes
76,1,1,yes
77,1,0,no
78,1,0,no
79,1,1,yes
80,0,1,no
81,1,1,yes
82,1,0,no
83,1,0,no
84,1,0,no
85,0,0,yes
86,1,1,yes
87,1,1,yes
88,1,0,no
89,1,0,no
90,1,0,no
91,1,0,no
92,1,1,yes
93,0,1,no
94,1,1,yes
95,1,0,no
96,0,0,yes
97,0,1,no
98,1,0,no
99,1,1,yes
100,1,1,yes
101,1,1,yes
102,0,1,no
103,1,0,no
104,0,1,no
105,0,1,no
106,0,0,yes
107,1,0,no
108,1,0,no
109,1,1,yes
110,0,1,no
111,1,1,yes
112,1,1,yes
113,1,0,no
114,0,1,no
115,0,0,yes
116,1,1,yes
117,0,1,no
118,0,1,no
119,1,1,yes
120,1,1,yes
121,0,1,no
122,0,0,yes
123,0,1,no
124,0,0,yes
125,0,1,no
126,1,1,yes
127,0,1,no
128,0,0,yes
129,1,0,no
130,0,0,yes
131,1,0,no
132,0,0,yes
133,1,0,no
134,0,1,no
135,1,1,yes
136,0,0,yes
137,1,0,no
138,1,0,no
139,1,0,no
140,0,1,no
141,1,0,no
142,1,0,no
143,1,0,no
144,1,0,no
145,1,0,no
146,1,0,no
147,1,1,yes
148,0,1,no
149,1,0,no
150,1,1,yes
151,1,1,yes
152,0,0,yes
153,0,1,no
154,1,1,yes
155,0,0,yes
156,0,0,yes
157,1,0,no
158,1,1,yes
159,1,1,yes
160,0,0,yes
161,0,1,no
162,0,0,yes
163,1,0,no
164,0,1,no
165,1,1,yes
166,1,1,yes
167,1,0,no
168,0,0,yes
169,0,0,yes
170,1,0,no
171,0,1,no
172,0,1,no
173,1,1,yes
174,1,1,yes
175,0,0,yes
176,0,1,no
177,0,0,yes
178,0,1,no
179,1,0,no
180,0,0,yes
181,1,1,yes
182,0,0,yes
183,0,0,yes
184,0,0,yes
185,1,1,yes
186,0,1,no
187,0,0,yes
188,1,0,no
189,1,0,no
190,1,1,yes
191,0,1,no
192,0,1,no
193,1,0,no
194,0,0,yes
195,1,0,no
196,0,0,yes
197,0,1,no
198,0,0,yes
199,0,0,yes
200,0,0,yes
201,1,1,yes
202,1,1,yes
203,0,1,no
204,0,1,no
205,1,1,yes
206,1,1,yes
207,0,0,yes
208,1,0,no
209,0,1,no
210,1,1,yes
211,1,0,no
212,0,0,yes
213,1,1,yes
214,0,1,no
215,1,1,yes
216,0,0,yes
217,1,1,yes
218,1,1,yes
219,1,0,no
220,0,1,no
221,0,1,no
222,1,0,no
223,1,1,yes
224,0,1,no
225,0,1,no
226,1,0,no
227,0,0,yes
228,0,1,no
229,0,1,no
230,1,1,yes
231,0,0,yes
232,1,1,yes
233,0,0,yes
234,0,1,no
235,0,0,yes
236,0,0,yes
237,0,1,no
238,1,0,no
239,0,0,yes
240,0,1,no
241,0,0,yes
242,0,1,no
243,0,1,no
244,0,1,no
245,0,1,no
246,0,0,yes
247,0,1,no
248,1,1,yes
249,0,1,no
250,0,1,no
251,0,0,yes
252,1,1,yes
253,0,1,no
254,0,1,no
255,1,1,yes
256,0,1,no
257,0,1,no
258,0,0,yes
259,1,0,no
260,1,1,yes
261,1,1,yes
262,1,1,yes
263,0,0,yes
264,0,0,yes
265,1,0,no
266,0,0,yes
267,1,0,no
268,0,0,yes
269,1,0,no
270,1,0,no
271,1,0,no
272,1,1,yes
273,1,0,no
274,0,0,yes
275,0,1,no
276,1,1,yes
277,1,0,no
278,1,0,no
279,1,1,yes
280,0,0,yes
281,0,1,no
282,1,1,yes
283,1,0,no
284,1,1,yes
285,1,0,no
286,0,1,no
287,0,0,yes
288,1,0,no
289,1,0,no
290,0,0,yes
291,1,1,yes
292,0,0,yes
293,0,0,yes
294,0,1,no
295,0,1,no
296,0,0,yes
297,1,1,yes
298,0,0,yes
299,0,1,no
300,1,1,yes
301,1,1,yes
302,0,1,no
303,0,0,yes
304,0,1,no
305,0,0,yes
306,1,0,no
307,0,0,yes
308,0,0,yes
309,0,0,yes
310,0,1,no
311,0,0,yes
312,1,0,no
313,0,1,no
314,0,1,no
315,1,0,no
316,1,1,yes
317,1,1,yes
318,0,1,no
319,0,1,no
320,0,1,no
321,1,0,no
322,0,1,no
323,1,0,no
324,1,1,yes
325,1,1,yes
326,0,1,no
327,1,0,no
328,1,0,no
329,1,1,yes
330,1,0,no
331,0,0,yes
332,1,0,no
333,1,1,yes
334,0,1,no
335,1,1,yes
336,1,0,no
337,1,0,no
338,0,0,yes
339,1,1,yes
340,0,1,no
341,1,0,no
342,0,0,yes
343,1,1,yes
344,1,0,no
345,1,1,yes
346,0,0,yes
347,1,0,no
348,0,0,yes
349,0,1,no
350,1,0,no
351,1,0,no
352,1,0,no
353,0,0,yes
354,0,0,yes
355,0,0,yes
356,0,1,no
357,0,0,yes
358,1,1,yes
359,0,0,yes
360,0,0,yes
361,0,0,yes
362,0,0,yes
363,0,1,no
364,0,0,yes
365,0,1,no
366,0,0,yes
367,1,0,no
368,0,1,no
369,0,0,yes
370,0,1,no
371,equal,0,no
372,1,0,no
373,0,0,yes
374,0,1,no
375,1,1,yes
376,0,1,no
377,1,0,no
378,1,0,no
379,0,1,no
380,0,0,yes
381,1,1,yes
382,1,1,yes
383,1,1,yes
384,0,0,yes
385,0,1,no
386,1,0,no
387,0,0,yes
388,0,1,no
389,1,1,yes
390,1,1,yes
391,1,0,no
392,1,1,yes
393,0,0,yes
394,0,0,yes
395,1,0,no
396,1,0,no
397,1,0,no
398,1,1,yes
399,0,0,yes
400,1,0,no
401,1,0,no
402,0,1,no
403,1,0,no
404,0,0,yes
405,1,1,yes
406,1,0,no
407,0,0,yes
408,0,0,yes
409,1,1,yes
410,0,0,yes
411,1,0,no
412,1,1,yes
413,1,1,yes
414,1,0,no
415,1,0,no
416,1,0,no
417,0,1,no
418,0,0,yes
419,0,1,no
420,0,0,yes
421,1,1,yes
422,1,1,yes
423,1,0,no
424,0,0,yes
425,0,1,no
426,1,0,no
427,0,1,no
428,1,0,no
429,0,1,no
430,1,1,yes
431,0,1,no
432,1,0,no
433,1,0,no
434,0,0,yes
435,0,1,no
436,1,0,no
437,1,1,yes
438,1,0,no
439,0,0,yes
440,1,1,yes
441,1,0,no
442,0,1,no
443,0,1,no
444,1,0,no
445,0,1,no
446,0,0,yes
447,1,1,yes
448,1,0,no
449,0,1,no
450,1,0,no
451,0,1,no
452,1,0,no
453,0,0,yes
454,0,0,yes
455,1,0,no
456,0,0,yes
457,0,1,no
458,0,0,yes
459,0,1,no
460,1,0,no
461,1,1,yes
462,0,1,no
463,1,0,no
464,0,1,no
465,0,equal,no
466,0,0,yes
467,1,0,no
468,1,0,no
469,0,1,no
470,1,1,yes
471,0,1,no
472,0,1,no
473,0,0,yes
474,0,0,yes
475,1,0,no
476,0,1,no
477,0,1,no
478,1,0,no
479,0,0,yes
480,1,0,no
481,1,1,yes
482,0,0,yes
483,0,1,no
484,0,1,no
485,0,1,no
486,1,1,yes
487,1,1,yes
488,0,1,no
489,0,0,yes
490,0,0,yes
491,1,1,yes
492,0,0,yes
493,0,0,yes
494,1,1,yes
495,0,0,yes
496,1,0,no
497,0,1,no
498,0,1,no
499,1,0,no
500,1,1,yes
501,0,1,no
502,0,1,no
503,1,1,yes
504,1,0,no
505,0,1,no
506,0,1,no
507,0,1,no
508,0,0,yes
509,0,0,yes
510,1,1,yes
511,1,1,yes
512,1,0,no
513,1,1,yes
514,1,0,no
515,0,1,no
516,1,1,yes
517,1,1,yes
518,0,1,no
519,1,0,no
520,1,1,yes
521,1,1,yes
522,0,1,no
523,1,1,yes
524,1,0,no
525,0,0,yes
526,1,1,yes
527,1,1,yes
528,equal,1,no
529,1,0,no
530,1,1,yes
531,1,1,yes
532,1,0,no
533,1,1,yes
534,1,0,no
535,0,1,no
536,1,0,no
537,1,0,no
538,1,0,no
539,1,1,yes
540,0,1,no
541,1,1,yes
542,1,1,yes
543,1,0,no
544,0,0,yes
545,0,1,no
546,1,0,no
547,1,0,no
548,1,0,no
549,0,1,no
550,0,0,yes
551,0,0,yes
552,1,0,no
553,1,0,no
554,1,0,no
555,1,1,yes
556,0,0,yes
557,0,1,no
558,0,1,no
559,1,0,no
560,1,0,no
561,0,1,no
562,1,1,yes
563,1,1,yes
564,1,0,no
565,0,1,no
566,1,1,yes
567,0,1,no
568,0,0,yes
569,1,0,no
570,0,0,yes
571,1,1,yes
572,1,equal,no
573,0,1,no
574,1,1,yes
575,1,1,yes
576,0,0,yes
577,0,1,no
578,1,0,no
579,1,1,yes
580,0,0,yes
581,0,1,no
582,0,1,no
583,0,0,yes
584,0,1,no
585,1,1,yes
586,1,0,no
587,1,0,no
588,0,0,yes
589,1,0,no
590,1,0,no
591,1,1,yes
592,1,1,yes
593,0,0,yes
594,0,1,no
595,1,1,yes
596,1,0,no
597,1,0,no
598,0,0,yes
599,1,1,yes
600,1,1,yes
601,1,1,yes
602,0,1,no
603,0,1,no
604,1,0,no
605,1,0,no
606,0,0,yes
607,0,1,no
608,1,1,yes
609,1,1,yes
610,0,0,yes
611,0,1,no
612,0,0,yes
613,0,0,yes
614,0,1,no
615,0,1,no
616,0,0,yes
617,1,1,yes
618,1,1,yes
619,1,1,yes
620,0,1,no
621,0,0,yes
622,1,0,no
623,1,0,no
624,0,0,yes
625,1,0,no
626,0,1,no
627,0,0,yes
628,1,1,yes
629,1,1,yes
